no,brand,photo_product,type,status,inventory_code,inventory_name,stock,score,other_candidates
11,Ad Rossen,Raptor,Domates,match,TŞ00822,RAPTOR DOMATES TOHUMU,1.130,4,TŞ00950 192868 DOMATES TOHUMU (500); TŞ00950 192868 DOMATES TOHUMU (500); TŞ00176 454 DOMATES ANACI TOHUMU (103.400)
12,Axia Tohum,Çiğdem,Domates,no_match,,,,1,TŞ00950 192868 DOMATES TOHUMU (500); TŞ00176 454 DOMATES ANACI TOHUMU (103.400); TŞ00400 7806 DOMATES TOHUMU (900)
13,SBS Seven Brothers Seeds,Sazak F1,Domates,no_match,,,,1,TŞ00950 192868 DOMATES TOHUMU (500); TŞ00176 454 DOMATES ANACI TOHUMU (103.400); TŞ00400 7806 DOMATES TOHUMU (900)
14,Manier / Interma,Manier,Domates,no_match,,,,1,TŞ00950 192868 DOMATES TOHUMU (500); TŞ00176 454 DOMATES ANACI TOHUMU (103.400); TŞ00400 7806 DOMATES TOHUMU (900)
15,Seminis,Tayfun,Domates,no_match,,,,1,TŞ00950 192868 DOMATES TOHUMU (500); TŞ00176 454 DOMATES ANACI TOHUMU (103.400); TŞ00400 7806 DOMATES TOHUMU (900)
16,Yes Seeds,Alkış 14T1026,Domates,no_match,,,,1,TŞ00950 192868 DOMATES TOHUMU (500); TŞ00176 454 DOMATES ANACI TOHUMU (103.400); TŞ00400 7806 DOMATES TOHUMU (900)
17,Agrotek,Patro F1,Domates,no_match,,,,1,TŞ00950 192868 DOMATES TOHUMU (500); TŞ00176 454 DOMATES ANACI TOHUMU (103.400); TŞ00400 7806 DOMATES TOHUMU (900)
18,Sakata,Troy F1,Domates,no_match,,,,1,TŞ00950 192868 DOMATES TOHUMU (500); TŞ00176 454 DOMATES ANACI TOHUMU (103.400); TŞ00400 7806 DOMATES TOHUMU (900)
19,Aroma Tohum,Ersoy F1,Domates,match,TŞ00862,ERSOY DOMATES TOHUMU,1.000,4,TŞ00950 192868 DOMATES TOHUMU (500); TŞ00950 192868 DOMATES TOHUMU (500); TŞ00176 454 DOMATES ANACI TOHUMU (103.400)
20,Enza Zaden,Monabell F1,Domates,match,TŞ00824,MONABELL DOMATES TOHUMU,7.878,4,TŞ00950 192868 DOMATES TOHUMU (500); TŞ00950 192868 DOMATES TOHUMU (500); TŞ00176 454 DOMATES ANACI TOHUMU (103.400)
