pair_no,side,corrected_file,source_file,source_time
19,on,duzeltilmis_resimler/urun-19-on.jpg,WhatsApp Image 2026-04-26 at 1.00.37 AM.jpeg,2026-04-26 01:00:37
19,arka,duzeltilmis_resimler/urun-19-arka.jpg,WhatsApp Image 2026-04-26 at 1.00.39 AM.jpeg,2026-04-26 01:00:39
20,on,duzeltilmis_resimler/urun-20-on.jpg,WhatsApp Image 2026-04-26 at 1.00.41 AM.jpeg,2026-04-26 01:00:41
20,arka,duzeltilmis_resimler/urun-20-arka.jpg,WhatsApp Image 2026-04-26 at 1.00.43 AM.jpeg,2026-04-26 01:00:43
21,on,duzeltilmis_resimler/urun-21-on.jpg,WhatsApp Image 2026-04-26 at 1.00.44 AM.jpeg,2026-04-26 01:00:44
21,arka,duzeltilmis_resimler/urun-21-arka.jpg,WhatsApp Image 2026-04-26 at 1.00.46 AM.jpeg,2026-04-26 01:00:46
22,on,duzeltilmis_resimler/urun-22-on.jpg,WhatsApp Image 2026-04-26 at 1.00.47 AM.jpeg,2026-04-26 01:00:47
22,arka,duzeltilmis_resimler/urun-22-arka.jpg,WhatsApp Image 2026-04-26 at 1.00.49 AM.jpeg,2026-04-26 01:00:49
23,on,duzeltilmis_resimler/urun-23-on.jpg,WhatsApp Image 2026-04-26 at 1.00.51 AM.jpeg,2026-04-26 01:00:51
23,arka,duzeltilmis_resimler/urun-23-arka.jpg,WhatsApp Image 2026-04-26 at 1.00.52 AM.jpeg,2026-04-26 01:00:52
24,on,duzeltilmis_resimler/urun-24-on.jpg,WhatsApp Image 2026-04-26 at 1.00.54 AM.jpeg,2026-04-26 01:00:54
24,arka,duzeltilmis_resimler/urun-24-arka.jpg,WhatsApp Image 2026-04-26 at 1.00.56 AM.jpeg,2026-04-26 01:00:56
25,on,duzeltilmis_resimler/urun-25-on.jpg,WhatsApp Image 2026-04-26 at 1.00.57 AM.jpeg,2026-04-26 01:00:57
25,arka,duzeltilmis_resimler/urun-25-arka.jpg,WhatsApp Image 2026-04-26 at 1.00.59 AM.jpeg,2026-04-26 01:00:59
26,on,duzeltilmis_resimler/urun-26-on.jpg,WhatsApp Image 2026-04-26 at 1.01.01 AM.jpeg,2026-04-26 01:01:01
26,arka,duzeltilmis_resimler/urun-26-arka.jpg,WhatsApp Image 2026-04-26 at 1.01.03 AM.jpeg,2026-04-26 01:01:03
27,on,duzeltilmis_resimler/urun-27-on.jpg,WhatsApp Image 2026-04-26 at 1.01.04 AM.jpeg,2026-04-26 01:01:04
27,arka,duzeltilmis_resimler/urun-27-arka.jpg,WhatsApp Image 2026-04-26 at 1.01.06 AM.jpeg,2026-04-26 01:01:06
28,on,duzeltilmis_resimler/urun-28-on.jpg,WhatsApp Image 2026-04-26 at 1.01.08 AM.jpeg,2026-04-26 01:01:08
28,arka,duzeltilmis_resimler/urun-28-arka.jpg,WhatsApp Image 2026-04-26 at 1.01.10 AM.jpeg,2026-04-26 01:01:10
29,on,duzeltilmis_resimler/urun-29-on.jpg,WhatsApp Image 2026-04-26 at 1.01.12 AM.jpeg,2026-04-26 01:01:12
29,arka,duzeltilmis_resimler/urun-29-arka.jpg,WhatsApp Image 2026-04-26 at 1.01.14 AM.jpeg,2026-04-26 01:01:14
30,on,duzeltilmis_resimler/urun-30-on.jpg,WhatsApp Image 2026-04-26 at 1.01.16 AM.jpeg,2026-04-26 01:01:16
30,arka,duzeltilmis_resimler/urun-30-arka.jpg,WhatsApp Image 2026-04-26 at 1.01.18 AM.jpeg,2026-04-26 01:01:18
31,on,duzeltilmis_resimler/urun-31-on.jpg,WhatsApp Image 2026-04-26 at 1.01.20 AM.jpeg,2026-04-26 01:01:20
31,arka,duzeltilmis_resimler/urun-31-arka.jpg,WhatsApp Image 2026-04-26 at 1.01.22 AM.jpeg,2026-04-26 01:01:22
32,on,duzeltilmis_resimler/urun-32-on.jpg,WhatsApp Image 2026-04-26 at 1.01.24 AM.jpeg,2026-04-26 01:01:24
32,arka,duzeltilmis_resimler/urun-32-arka.jpg,WhatsApp Image 2026-04-26 at 1.01.26 AM.jpeg,2026-04-26 01:01:26
33,on,duzeltilmis_resimler/urun-33-on.jpg,WhatsApp Image 2026-04-26 at 1.01.27 AM.jpeg,2026-04-26 01:01:27
33,arka,duzeltilmis_resimler/urun-33-arka.jpg,WhatsApp Image 2026-04-26 at 1.01.29 AM.jpeg,2026-04-26 01:01:29
34,on,duzeltilmis_resimler/urun-34-on.jpg,WhatsApp Image 2026-04-26 at 1.01.31 AM.jpeg,2026-04-26 01:01:31
34,arka,duzeltilmis_resimler/urun-34-arka.jpg,WhatsApp Image 2026-04-26 at 1.01.33 AM.jpeg,2026-04-26 01:01:33
35,on,duzeltilmis_resimler/urun-35-on.jpg,WhatsApp Image 2026-04-26 at 1.01.34 AM.jpeg,2026-04-26 01:01:34
35,arka,duzeltilmis_resimler/urun-35-arka.jpg,WhatsApp Image 2026-04-26 at 1.01.36 AM.jpeg,2026-04-26 01:01:36
36,on,duzeltilmis_resimler/urun-36-on.jpg,WhatsApp Image 2026-04-26 at 1.01.38 AM.jpeg,2026-04-26 01:01:38
36,arka,duzeltilmis_resimler/urun-36-arka.jpg,WhatsApp Image 2026-04-26 at 1.01.39 AM.jpeg,2026-04-26 01:01:39
37,on,duzeltilmis_resimler/urun-37-on.jpg,WhatsApp Image 2026-04-26 at 1.01.42 AM.jpeg,2026-04-26 01:01:42
37,arka,duzeltilmis_resimler/urun-37-arka.jpg,WhatsApp Image 2026-04-26 at 1.01.43 AM.jpeg,2026-04-26 01:01:43
38,on,duzeltilmis_resimler/urun-38-on.jpg,WhatsApp Image 2026-04-26 at 1.01.45 AM.jpeg,2026-04-26 01:01:45
38,arka,duzeltilmis_resimler/urun-38-arka.jpg,WhatsApp Image 2026-04-26 at 1.01.47 AM.jpeg,2026-04-26 01:01:47
39,on,duzeltilmis_resimler/urun-39-on.jpg,WhatsApp Image 2026-04-26 at 1.01.49 AM.jpeg,2026-04-26 01:01:49
39,arka,duzeltilmis_resimler/urun-39-arka.jpg,WhatsApp Image 2026-04-26 at 1.01.50 AM.jpeg,2026-04-26 01:01:50
40,on,duzeltilmis_resimler/urun-40-on.jpg,WhatsApp Image 2026-04-26 at 1.01.52 AM.jpeg,2026-04-26 01:01:52
40,arka,duzeltilmis_resimler/urun-40-arka.jpg,WhatsApp Image 2026-04-26 at 1.01.53 AM.jpeg,2026-04-26 01:01:53
41,on,duzeltilmis_resimler/urun-41-on.jpg,WhatsApp Image 2026-04-26 at 1.01.55 AM.jpeg,2026-04-26 01:01:55
41,arka,duzeltilmis_resimler/urun-41-arka.jpg,WhatsApp Image 2026-04-26 at 1.01.57 AM.jpeg,2026-04-26 01:01:57
42,on,duzeltilmis_resimler/urun-42-on.jpg,WhatsApp Image 2026-04-26 at 1.01.58 AM.jpeg,2026-04-26 01:01:58
42,arka,duzeltilmis_resimler/urun-42-arka.jpg,WhatsApp Image 2026-04-26 at 1.02.00 AM.jpeg,2026-04-26 01:02:00
43,on,duzeltilmis_resimler/urun-43-on.jpg,WhatsApp Image 2026-04-26 at 1.02.02 AM.jpeg,2026-04-26 01:02:02
43,arka,duzeltilmis_resimler/urun-43-arka.jpg,WhatsApp Image 2026-04-26 at 1.02.04 AM.jpeg,2026-04-26 01:02:04
